interface,topic,p10,query_terms
2,347,0.1,species_native_to_other_countries
2,347,0,extinction_prevention_zimbawe
2,347,0.2,extinction_prevention
2,347,0,extinction_prevention_canada
2,347,0.6,wildlife_protection
2,347,0.4,wildlife_protection_extinction
2,408,0.7,tropical_storms_major_damage
1,341,0,carry_on_luggage_checks
1,341,0.1,security_measures_carry_on
1,341,0.6,security_measures_airport
1,341,0,airport_security_measaures
1,341,0.6,airport_security_measures
4,435,0.2,curbing_population_growth
3,435,0.3,slowing_population_growth
3,435,0.1,what_countries_are_doing_to_slow_population
3,435,0,slowing_human_population
4,341,0,carryon_luggage_screening
4,341,0,carry_on_luggage_screening
4,341,0.2,international_luggage_screening
4,341,0,international_luggage_screening_procedures
4,341,0,international_luggage_screening_procedure
4,341,0,luggage_screening_procedure
4,341,0.1,luggage_procedure
4,408,0.2,large_scale_tropical_storms
4,408,0,deveastating_tropical_storms
4,408,0,devestating_tropical_storms
4,408,0.3,devastating_tropical_storms
4,408,0.3,killer_tropical_storms
4,408,0.5,tropical_storm_disaster
2,347,0.3,preventing_extinction_of_wildlife
2,347,0.3,prevention_extinction_of_wildlife
2,435,0.1,countries_curbed_population_growth
2,435,0.7,population_growth
2,435,0.1,scaling_down_population_growth
2,435,0.1,countries_that_stopped_population_growth
2,435,0.2,population_control_methods
3,341,0.3,airport_screening
3,341,0.1,airport_security
4,435,0.2,curb_population_growth
4,435,0.8,population_growth_measure
3,341,0.2,international_airport_screening
3,341,0.3,airport_screening
4,341,0.2,international_airport_screening_government
4,341,0,government_ordered_procedure_international_airport
4,341,0,government_ordered_procedure_international_airport_screening
4,341,0.1,government_ordered_international_airport_screening
4,408,0.2,hurricane_damage
4,408,0,typhoon_damage
2,341,0.2,international_airport_security
2,341,0.1,international_airport_security_upgrade
2,341,0.3,improve_airport_security
1,341,0,government_carry_on_baggage
1,341,0,international_airport_procedures
1,341,0.2,international_airport_screening_procedures
1,341,0.1,airport_screening_procedures
1,341,0.3,airport_screening
4,341,0.2,international_airport_screening
1,347,0.3,wildlife_preservation
4,341,0,screening
4,341,0.1,airport_security
3,435,0.5,successful_population_control
3,435,0.4,successful_family_planning
2,435,0.7,population_growth
2,435,0.2,human_population_control_measures
2,435,0.2,curb_human_population
2,435,0.2,over_population_measures
2,435,0.7,population_growth
1,347,0.4,animal_conservation
1,347,0.5,endangered_species
4,408,0.7,Tropical_Storm_kills
4,408,0.9,Tropical_Storm_deaths
4,408,0.7,Tropical_Storm_destroys
3,341,0.2,international_airport_screening
2,347,0.3,wildlife_conservation
2,347,0.2,endangered_animals
3,347,0.1,foreign_wildlife_protection
3,347,0,wildlife_protection_overseas
3,347,0.1,wildlife_protection_different_countries
1,341,0.3,airport_screen_baggage
1,341,0.3,airport_security_baggage
1,341,0.4,airport_security_baggage_screen
4,347,0.2,international_wild_life_conservation
4,347,0.2,international_conservation_extinct
4,347,0.5,international_conservation_endanger
2,341,0.4,airport_security_screening
2,341,0,airport_carryon_screening
2,341,0,airport_carryon_screening
2,341,0,airport_carryon_screening
2,341,0.1,airport_passenge_screening
2,341,0.1,airport_passenger_screening
4,341,0.2,screening_procedures_international_airports
4,341,0,security_procedures_international_airports
2,347,0,preventing_extinction_of_wildlife_species_-united_states
2,347,0.4,preventing_extinction_of_wildlife_species
2,347,0.3,prevent_extinction_wildlife
2,347,0,prevent_extinction_wildlife_overseas
2,347,0.3,prevent_extinction_wildlife
2,347,0.2,prevent_extinction_wildlife_china
4,341,0.2,screening_passengers_international_airports
4,341,0,airport_screenign_carryon
4,341,0.2,airport_screening_luggage
4,341,0.2,passenger_screening_airplane
4,341,0.2,luggage_screening_airports
4,347,0.1,preserving_wildlife_efforts
4,347,0.3,preserving_wildlife
2,408,0.4,deadly_deadly_hurricane
2,408,0.4,deadly_hurricane
2,408,0,deadly_typhoon
2,408,0.1,typhoon
2,408,0.4,hurricane_death
2,408,0.3,hurricane
2,408,0.4,deadly_hurricane
2,408,0.1,typhoon
2,408,0.7,worst_tropical_storms
2,435,0.2,curb_population_growth
2,435,0,population_decreases
2,435,0.1,curbing_population_growth_successes
2,435,0.1,curbing_population_successes
2,435,0.1,countries_curbing_population_growth_successes
1,408,0.7,major_tropical_storm_damage
4,341,0.2,international_luggage_screening
4,341,0.1,Effectiveness_of_internation_airport_screening
4,341,0.1,foreign_airport_luggage_screening
4,341,0,global_luggage_screening
4,341,0.1,foreign_luggage_screening
4,341,0.2,international_luggage_screening
4,341,0.1,luggage_screening_for_international_flights
2,435,0,curbbing_population
2,435,0,curbbing_population_growth
2,435,0.2,curbing_population_growth
2,435,0,current_stop_to_population_growth
2,435,0,curbbing_population_growth_results
2,435,0.1,curbing_population_growth_results
2,435,0.2,curbs_to_population_growth
1,435,0.1,countries_curb_popul_population_growth
1,435,0.1,countries_curb_population_growth
1,435,0.1,successful_countries_curb_population_growth
1,435,0.1,successful_countries_curb_population_growth
1,435,0.1,successful_curb_population_growth
1,435,0.1,curb_population_growth_countries
1,435,0.3,government_curb_population_growth
4,347,0,piracy
4,347,0.1,wildlife_species_endangered_and_what_is_being_done
4,347,0.3,preventing_extinction_of_wildlife
4,347,0.1,preventing_extinction_of_wildlife_in_other_countries
3,341,0.1,International_Airport_Luggage_screening_rules
3,341,0,Foreign_Airport_Luggage_screening_rules
3,341,0.1,Airport_Luggage_screening_rules
3,341,0.1,Airport_Luggage_screening_rules_Country
3,341,0.1,Airport_Luggage
1,347,0,foreign_wildlife_extinction_prevention
1,347,0.1,foreign_wildlife_protection
1,347,0.6,wildlife_protection
2,435,0.5,population_control
2,435,0.6,population_control_results
2,408,0.1,large_tropical_storms
2,408,0.6,tropical_storm_damage
1,341,0,international_screening_carry_on
1,341,0,international_airport_screening_carryon_luggage
1,341,0.2,international_airport_screening_carry_on_luggage
1,341,0.3,international_airport_screening_luggage
1,341,0.1,foreign_airport_screening_luggage
1,341,0,china_airport_screening_luggage
1,341,0,london_airport_screening_luggage
1,341,0,international_airport_procedure_carry_on_luggage
1,341,0,airport_procedure_carry_on_luggage
1,341,0,procedure_carry_on_luggage
1,341,0,international_flight_carry_on_luggage
1,347,0,prevent_the_extinction_of_wildlife_species_native_to_their_countries
1,347,0.4,prevent_the_extinction_of_wildlife_species
1,435,0.4,curbing_population_control
1,408,0.6,tropical_storm_damage
3,347,0.1,extinct
2,347,0.1,countries_prevent_extinction_of_wildlife
2,347,0,what_countries_are_preventing_extinction
2,347,0.1,extinction
1,408,0.1,storm_damage
1,408,0.6,tropical_storm_damage
3,408,0.4,deadly_hurricane
3,408,0.1,hurricane_andrew
3,408,0,hurricane_death_toll
3,408,0,hurricane_andrew_miami
3,408,0.3,hurricane_andrew_damage
3,408,0.1,hurricane_andrew_aftermath
3,408,0,hurricane_aftermath
3,408,0.2,hurricane_katrina
3,408,0.3,hurricanes
3,408,0.6,hurricane_storm_damage
3,408,0.4,hurricane_death
3,408,0.4,hurricane_death
1,408,0,hurricane_katrina_damage_loss_of_life
1,408,0.2,hurricane_katrina_damage
1,408,0.2,hurricane_katrina
1,408,0.2,hurricane_katrina_damage
1,408,0.4,hurricane_death
3,408,0.1,tropical_storms
3,408,0.6,tropical_storms_damages
1,435,0.2,slow_population_growth_countries
1,435,0.1,curb_population_growth_countries
1,408,0.3,hurricane
1,408,0.3,deadliest_hurricane
1,408,0.4,deadly_hurricane
4,408,0.7,major_tropical_storm_damage
4,408,0.6,tropical_storm_damage
4,408,0.9,tropical_storm_deaths
3,408,0.3,massive_storm_damage
1,435,0,ways_stop_population_growth
1,435,0.2,curb_population_growth
1,435,0.7,population_growth_policies
3,347,0.5,wildlife_extinction_countries
1,341,0.2,international_airport_screening
2,341,0.1,procedures_taken_by_international_airports
2,341,0,procedures_in_international_airports
2,347,0.1,countries_taking_steps_against_animal_extinction
2,347,0.4,protecting_endangered_species
1,341,0.1,luggage_screen
1,341,0.2,luggage_screen_international
1,341,0,international_airport
1,341,0.2,international_airport_security
1,341,0.1,international_airport_security_luggage
4,341,0.2,international_luggage_screening
4,341,0.1,international_carry_on_luggage_screening
4,341,0.2,international_airport_security
1,347,0.2,fighting_extinction
1,347,0.3,animal_extinction
1,347,0,extinction_effort
3,341,0.2,airport_luggage_screening
3,341,0.2,international_airport_security
3,341,0.1,airport_luggage_security
1,347,0.3,wildlife_conservation
1,347,0.1,elephant_conservation
1,347,0.6,rhino_conservation
1,347,0.7,steps_to_conserve_animals
2,341,0.2,international_airport_screening
2,341,0.2,europe_airport_screening
2,341,0.2,europe_carry_on_screening
2,341,0.2,europe_airport_carry_on_screening
2,341,0,britain_airport_carry_on_screening
2,341,0,britain_airport_passenger_screening
2,341,0,france_airport_passenger_screening
2,341,0,ireland_airport_passenger_screening
2,341,0,ireland_airport_carryon_screening
2,341,0,ireland_airport_carry_on_screening
2,341,0,ireland_airport_carry_on_luggage_screening
3,347,0.2,wildlife_conservation_non_US
3,347,0,native_wildlife_conservation_non_US
3,347,0.1,native_wildlife_conservation_China
3,347,0,native_wildlife_conservation_Malaysia
3,347,0.8,wildlife_conservation_Malaysia
3,435,0.3,slow_population_growth
3,435,0.2,curb_population_growth
3,435,0.7,population_growth
4,408,1,tropical_storm_damage_deaths
4,408,0.8,tropical_storm_hurricane_damage_deaths
4,408,1,tropical_storm_damage_deaths
4,408,0.3,deadly_tropical_storms_damage
3,347,0.2,prevent_extinction
3,347,0.5,wildlife_extinction_plans
4,341,0.2,international_airports_passengers_screen
2,408,0.6,tropical_storm_damage_records
2,408,0.9,hurricane_damage_records
2,408,0.4,most_severe_hurricanes
2,408,0.2,hurricane_damage
2,408,0.2,hurricane_records
1,347,0.2,country_prevent_extinction_wild_animals
1,347,0.1,extinction_wild_animals_prevention
1,347,0.1,europe_protection_wild_animals_extinct
1,347,0.4,protection_wild_animals_extinct
3,435,0.1,success_in_curbing_population_growth
3,435,0,success_in_curbing_population_growth_2016
3,435,0,success_in_curbing_population_growth_2015
3,435,0,success_in_curbing_population_growth_2014
3,435,0,success_in_curbing_population_growth_2013
3,435,0.1,success_in_curbing_population_growth
3,435,0,successfully_launches_curbing_population_growth
2,408,0.1,storm_damage_estimates
2,408,0.4,tropical_storm_damage_estimates
2,408,0.6,tropical_storm_damage
2,408,0.2,hurricane_damage
2,341,0,better_screen_passengers_and_their_carry-on_luggage.
2,341,0.3,airport_screening
2,341,0,airport_screening_enhancements
2,341,0.3,airport_screening
3,408,0,ropical_storms_that_have_caused_major_property_damage_and_loss_of_life
3,408,0.4,major_tropical_storms
3,408,0.2,major_tropical_storms_loss_of_life
3,408,0.4,tropical_storms_loss_of_life
3,408,0.4,hurricane_loss_of_life
3,347,0.2,endangered_animals
3,347,0.3,saving_endangered_animals
3,347,0,how_to_save_endangered_animals
3,347,0.1,save_wild_life
3,347,0.2,save_endangered_species
3,347,0,how_to_save_endangered_species
4,408,0.6,tropical_storm_damage_history
4,408,0.3,hurricane_damage_history
2,435,0,countries_that_have_been_successful_in_curbing_population_growth
2,435,0.1,countries_curbing_population_growth
2,341,0.2,airport_screening_international
2,341,0,airport_screening_overseas
2,341,0.1,airport_screening_different_countries
2,341,0.3,airport_screening
2,341,0,flight_screening_overseas
2,341,0.3,screening_airport
4,408,0.2,large_hurricanes
4,408,0.3,hurricane_deaths_damage
4,408,0.1,hurricane_andrew
3,347,0.1,extinction_europe_species
3,347,0,extinction_france_wildlife
3,347,0.1,extinction_britain_wildlife
2,408,0.4,deadly_hurricanes
2,408,0.3,deadliest_hurricanes
2,408,0.2,worlds_deadliest_hurricanes
2,408,0.2,worlds_most_destructive_hurricanes
2,408,0.3,worlds_most_devastating_hurricanes
2,408,0.1,worlds_worst_hurricanes_that_caused_major_damage
2,408,0.4,hurricanes_that_caused_major_damage
2,408,0.1,destructive_hurricanes
2,408,0.1,costliest_hurricanes
2,347,0.2,prevent_extinction
2,347,0,foreign_country_extenction_programs
2,347,0,foreign_country_extinction_programs
2,347,0.1,foreign_extinction_programs
4,341,0.2,international_airport_screening
4,341,0.2,screening_international_airport
1,341,0.2,international_airport_screening
1,341,0.2,international_airport_passenger_screening
1,341,0.1,airport_passenger_screening
1,341,0.2,better_passenger_screening
1,341,0.2,better_airport_screening
1,341,0.2,better_baggage_screening
1,341,0.2,better_baggage_screening
3,347,0.1,countries_preventing_wildlife_extinction
3,347,0.1,africa_preventing_wildlife_extinction
3,347,0.3,preventing_wildlife_extinction
3,347,0,asia_pacific_wildlife_extinction
3,347,0.4,asia_wildlife_extinction
3,408,0.2,the_worst_tropical_storms_in_history
3,408,0.4,tropical_storms_that_did_the_most_damage
1,341,0.4,international_flights_baggage_screening
1,341,0.4,baggage_screening_on_international_flights
1,341,0,international_flight_security
1,341,0.1,carry_on_baggage_screening
1,341,0.4,carry_on_baggage_screening_measures
2,408,0.3,devastating_tropical_storms
2,408,0.1,largest_tropical_storms
2,408,0,hurricane_damange
2,408,0.6,tropical_storm_damage
4,347,0.1,saving_wildlife
2,435,0.2,curbing_population_growth
2,435,0.6,china_population_growth
2,435,0.2,curb_population
2,435,0.1,curb_population_success
2,435,0.5,population_control
3,347,0.1,countries_preventing_extinction_of_wildlife
3,435,0.2,curbing_population_growth
4,408,0,Hurricaine_Loss_or_property
4,408,0.2,Storms_Loss_or_property
4,408,0.7,Tropical_Storms_Loss_or_property
1,341,0.2,international_airport_screening
1,341,0,passenger_friendly_airport_screening
1,341,0.2,international_airport_security
1,341,0.2,international_airport_screening
1,341,0,international_airport_screening_friendly
1,341,0.2,international_airport_screening
1,347,0.5,extinction_of_wildlife_species
3,341,0.2,international_airport_screening
3,341,0.2,international_airport_screening_procedures
3,341,0.2,international_airport_security
3,341,0.2,international_passenger_screening
3,341,0.1,international_baggage_screening
1,347,0.3,prevent_wildlife_extinction
1,341,0.3,airport_screening
1,341,0.3,airport_baggage_screening
1,341,0,airport_passanger_screening
1,341,0.1,airport_passenger_screening
1,341,0.1,airport_passenger_security
2,341,0.2,international_airport_screening
2,341,0.2,Europe_airport_screening
2,341,0,Asia_airport_screening
2,341,0,Asia_airport_carry_on
2,341,0.2,airport_efficient_screening
2,341,0.1,airport_screening_Canada
2,341,0.1,airport_security
2,341,0.3,airport_screen
2,341,0.2,airport_screen_Europe
2,341,0,airport_screen_Israel
2,341,0,airport_screen_China
2,341,0,airport_security_China
2,341,0.1,airport_security_country
4,435,0.2,curbing_population_growth
4,435,0.1,measures_taken_to_curb_population_growth
4,435,0.2,curb_population_growth
4,435,0,how_to_curb_population_growth
4,435,0.2,curb_population_growth
3,408,0.2,hurricane_katrina
3,408,0,notable_hurricans
3,408,0,notable_hurricanes
3,408,0,notable_hurricanes
3,408,0.1,hurricane_mitch
3,408,0,hurricane_floyd
3,408,0,hurricane_in_nj
3,408,0,hurricane_sandy
3,347,0.2,extinction_prevention
3,347,0.6,wildlife_extinction
4,347,0.2,saving_endangered_species
4,347,0.4,protected_endangered_species
4,347,0.1,steps_efforts_endangered_species
2,341,0.2,international_airport_passenger_screening
2,341,0.3,airport_screening_improvements
2,341,0.4,airport_screening_technology
3,408,0,natural_disasters
3,408,0.2,natural_disaster_damage
3,408,0.2,natural_disaster_kills
3,408,0.2,hurricane_katrina
3,408,0.3,hurricane_kills
4,347,0,prenvint_native_wildlife_extinction
4,347,0.1,preventing_native_wildlife_extinction
4,347,0.3,preventing_wildlife_extinction
4,347,0.3,native_wildlife_protection
4,347,0.6,wildlife_protection
4,435,0.5,population_control
1,408,0.2,major_hurricanes
1,408,0,biggest_hurricanes
1,408,0.1,hurricane_destruction
1,408,0.1,most_damaging_hurricanes
2,435,0.1,countries_curbing_population_growth
2,435,0,countries_succes_curbing_population_growth
2,435,0.1,countries_success_curbing_population_growth
4,347,0,prevent_extinction_efforts_global
4,347,0.2,prevent_extinction
4,347,0.2,save_endangered
3,341,0.2,International_airport_security
3,435,0.8,reduce_population_growth
3,435,0.4,reduce_population_growth_success
2,347,0,prevent_extinction_native_to_country_wildlife
2,347,0,prevent_extinction_native_to_country
2,347,0,prevent_extinction_native_country
2,347,0.1,prevent_extinction_native
2,347,0.1,prevent_extinct_native
2,347,0,prevent_extinct_native_country
2,347,0,prevent_extinct_country
2,347,0.2,prevent_extinct
4,347,0,native_plant_preservation
4,347,0,native_species_preservation
4,347,0,native_species_preservation_europe
4,408,0.1,storm_damage
2,341,0.2,international_airport_screening
2,341,0.1,airport_luggage_screening_international_flights
2,341,0.2,airport_luggage_screening
2,341,0.2,luggage_screening_international
2,341,0,government_luggage_checks
3,435,0.1,population_reduction
4,435,0.5,population_control
3,347,0.5,species_conservation
3,347,0.2,endangered_conservation
3,347,0.3,endangered_conservation_efforts
3,347,0.2,endangered_conservation
3,347,0.4,local_animal_conservation
3,347,0.6,endangered_animal_conservation
3,347,0.2,endangered_species_conservation
3,347,0.1,extinction_conservation
3,341,0.1,airports_screening_passengers
3,341,0.2,airports_screening_passengers_effectiveness
2,347,0,extinctiion_efforts_countries
2,347,0.3,extinction_efforts_countries
2,347,0.2,prevent_extinction
2,347,0,europe_prevent_extinction
2,347,0,asia_prevent_extinction
2,408,0,tropical_storms_significant_damage
2,408,0,most_disatrous_storms
4,408,0,tropical_storms_significant_damage
4,408,0.9,tropical_storm_deaths
3,347,0.1,prevent_the_extinction_of_native_wildlife_species
3,347,0.1,preventing_extinction_of_native_wildlife_species
3,347,0.1,preventing_extinction_of_native_wildlife
3,347,0.3,preventing_extinction_of_wildlife
3,347,0,preventing_extinction_of_wildlife_uk
3,347,0,preventing_extinction_of_wildlife_asia
3,435,0.2,population_control_methods
4,408,0,Bad_storms
4,408,0.2,Bad_tropical_storms
4,408,0.9,tropical_storms_deaths
4,347,0.3,wildlife_extinction_prevention
4,347,0.1,wildlife_extinction_prevention_in_Africa
4,347,0,wildlife_extinction_prevention_in_Australia
4,347,0.3,wildlife_extinction_prevention
4,347,0.3,preventing_wildlife_extinction
4,347,0.3,preventing_wildlife_extinction
3,408,0,significant_hurrican_damage
3,408,0,devestating_hurricane
3,408,0.4,devastating_hurricane
4,408,0,property_damange_weather
4,408,0,property_damage_bad_weather
1,435,0.2,curbing_population_growth
1,435,0.1,stopping_population_growth
1,435,0.2,curbing_population_growth
3,435,0.2,curbing_population_growth
3,435,0.4,family_planning
1,435,0.3,slowing_population_growth
1,435,0.8,population_growth_efforts
1,435,0.5,population_control
4,435,0.5,population_control
4,435,0.5,population_control_success
1,435,0.1,population_growth_methods
4,347,0,species_preservation_NOT_United_States
4,347,0.1,species_preservation_china
4,347,0.1,species_preservation_india
4,347,0,species_preservation_NOT_US
4,347,0.3,wildlife_preservation_NOT_US
1,347,0.2,extinction_prevention
1,347,0.1,extinction_reversed
1,347,0.2,extinction_prevention
1,347,0.1,extinction_program
3,347,0.5,wildlife_extinction_efforts_around_the_world
3,347,0.3,wildlife_extinction_efforts
4,408,0.1,tropical_storms_caused_significant_property_damage_and_death
4,408,0.8,tropical_storms_caused_damage_and_death
3,435,0.3,steps_to_reduce_population_growth
3,435,0.8,reducing_population_growth
2,435,0.3,slowing_population_growth
2,435,0.1,stopping_population_growth
2,435,0.3,limiting_population_growth
2,435,0.3,population_growth_limiting
2,435,0.3,population_growth_law
1,347,0.2,Wildlife_endangered
1,347,0.1,Wildlife_endangered_non_us_countries
1,347,0.2,Wildlife_endangered
1,435,0.2,curbing_population_growth
3,408,0.1,storm_damage
3,408,0.2,hurricane_damage
3,408,0.2,hurricane_damage_list
2,408,0.6,damage_from_tropical_storms
2,408,0.2,damage_from_hurricane
2,408,0,damage_from_typhoon
2,408,0.6,tropical_storm_damage
2,435,0.2,curbing_population_growth
3,341,0.3,international_airport_passenger_luggage_screening
3,341,0.1,international_airport_improvements_carry_on_luggage_screening
3,341,0.1,airport_improvements_carry_on_luggage_security_screening
3,341,0.1,airport_improvements_carry_on_luggage_security_screening
3,341,0.3,airport_security_carry_on_luggage_screening
3,341,0,results_screening_carry_on_luggage
3,341,0,results_security_screening_carry_on_luggage
3,341,0,airport_security_screening_carry_on_luggage_results
3,341,0,airport_security_screening_carry_on_luggage_result
3,341,0,new_procedures_screening_carry_on_luggage_result
3,341,0,new_procedures_screening_carry_on_luggage
3,341,0.2,procedures_international_airports_screen_passengers
3,341,0.2,international_airport_screening
3,341,0.2,international_airport_security
3,341,0.2,effective_international_passenger_screening
2,435,0.2,Curb_Population_Growth
4,435,0.2,curbing_china_population_growth
1,435,0,human_population_control
1,435,0.4,human_population_growth_control
1,435,0,human_population_reduction
1,435,0,human_population
1,435,0,human_population_control
1,435,0.2,curb_human_population
1,435,0.2,curbing_human_population
1,435,0.1,reducing_human_population
1,435,0,cullnig_human_population
1,435,0,cullinghuman_population
1,435,0,culling_human_population
1,435,0,cull_humans
1,435,0,human_population_control
3,435,0.2,Population_curbing
3,435,0.5,Population_control
4,341,0.3,airport_screening
4,341,0.2,international_airport_screening
4,341,0.3,airport_screening
4,341,0.1,airport_screening_effectiveness
4,341,0,intl_airport_screening_effectiveness
4,341,0.1,international_airport_screening_effectiveness
4,341,0.2,international_airport_screenings
4,341,0.3,airport_screenings
2,347,0.4,wildlife_conservation_country_efforts
2,347,0.6,wildlife_extinction_country_efforts
2,347,0,wildlife_prevent_extinction_country_efforts
2,347,0.4,animal_extinction_country_efforts
1,341,0.2,International_airports_screening
1,341,0.2,International_airports_passenger_screening
1,341,0.1,airports_passenger_screening
1,408,0.3,hurricane
1,408,0.2,hurricane_damage
1,435,0.7,countries_controlling_population_growth
4,408,0.2,hurricane_damage
2,341,0.2,airport_improve_security_checks
2,341,0.2,international_airport_improve_security_checks
2,341,0.4,international_airport_security_checks
2,341,0.4,airport_security_checks
4,341,0.1,screening_procedures_at_airport
1,408,0,tropical_storms_that_have_caused_significant_property_damage_and_loss_of_life
1,408,0.3,devastating_tropical_storms
2,347,0.1,preventing_extinction_of_native_wildlife_species
2,347,0.4,preventing_extinction_of_wildlife_species
2,347,0.3,preventing_extinction_of_wildlife
2,347,0.2,preventing_extinction
1,347,0,countries_preventing_extinction
1,347,0.1,countries_taking_action_against_extinction
1,347,0,against_extinction
2,435,0.5,population_control
1,435,0.5,successful_population_control
1,408,0.3,hurricane_kills
1,408,0,hurricane_extensive_damage
1,408,0.2,hurricane_damage
1,408,0.1,hurricane_million
1,408,0.2,typhoon_kills
1,408,0,typhoon_damage
1,408,0.1,tropical_storm
1,408,0.6,tropical_storm_damage
3,435,0.2,population_growth_curbs
4,408,0.6,tropical_storm_damage
1,408,0.2,hurricane_damage
2,408,0.4,devastating_hurrican
2,408,0.4,devastating_hurricane
2,408,0.3,Hurricane
4,341,0,better_screening_passengers_and_their_carry-on_luggage
4,341,0.2,airport_screening_of_passengers_and_their_carry-on_luggage
4,341,0,airport_security_for_passengers_and_their_carry-on_luggage
4,341,0.1,airport_security
1,435,0.2,curbing_population_growth
1,435,0.2,curbing_population_growth_China
1,435,0.5,curbing_population_growth_China_family_planning
1,435,0.3,China_family_planning_success
1,435,0.1,success_curbing_population_growth
1,435,0,success_curbing_animL_population_growth
1,435,0,success_curbing_animAL_population_growth
3,435,0.2,curbing_population_growth
3,435,0.3,slow_population_growth
2,347,0.3,native_wildlife_protection
2,347,0.4,protection_of_endangered_species
3,408,0.2,severe_tropical_storms
3,408,0.4,deadly_tropical_storms
4,408,0,devastating_typhoons
4,408,0,deadly_typhoons
4,408,0.4,deadly_hurricane
4,408,0.4,devastating_hurricane
4,435,0.2,curbing_population_growth
4,435,0.1,one_child_laws
4,435,0.2,countries_that_use_population_population_control
4,435,0.2,countries_that_use_population_control
4,435,0.5,population_control
3,435,0,curbing_pollution
4,341,0.1,"taken_by_international_airports,_to_better_screen_passengers_and_their_carry-on_luggage"
4,341,0,screen_passengers_and_their_carry-on_luggage
4,341,0,screen_passengers_and_carry-on_luggage
4,341,0.2,regulations_involving_passengers_and_carry-on_luggage
4,341,0.2,airport_regulations_involving_passengers_and_carry-on_luggage
4,341,0,carry-on_luggage_regulations
4,341,0.2,airport_carry-on_luggage_regulations
4,341,0,airport_luggage_regulations
4,341,0,airport_carryon_regulations
4,341,0.1,airport_carry_on_regulations
2,435,0.1,countries_curbing_population_growth
2,435,0.7,population_growth_plans
1,408,0.1,large_tropical_storms
1,408,0.6,tropical_storm_damage
3,341,0.3,airport_screening
3,341,0.1,airport_screening_success
3,341,0.3,airport_screening
3,341,0.2,international_airport_screening
1,341,0.2,international_airports_and_screening_passengers
1,341,0.2,international_airports_screening_passengers
1,341,0.1,international_airports_screen_passengers_carry_on_luggage
1,341,0.3,international_airports_screen_passengers_luggage
1,341,0.2,international_passenger_screening
3,347,0.6,foreign_wildlife_extinction
3,347,0.1,foreign_wildlife_protection
3,347,0,foreign_prevent_extinction
2,347,0.3,US_endangered_protection
2,347,0.3,endangered_protection
1,408,0.6,tropical_storm_damage
3,341,0.1,security_airport
4,341,0.2,international_passenger_screening
4,341,0.2,international_airport_security
4,341,0.2,international_airport_baggage_screening
4,341,0.3,improving_international_airport_baggage_screening
4,341,0.1,steps_to_improve_international_airport_baggage_screening
4,341,0.2,baggage_screening_at_international_airports
4,341,0.2,passenger_screening_at_international_airports
4,341,0,improving_airport_security_internationally
1,347,0.1,animal_protection
1,347,0.3,animal_extinction
1,347,0.3,animal_extinction_prevention
1,435,0.2,curbing_population_growth
4,347,0.2,prevent_extinction
4,347,0,China_extinction
4,347,0.1,India_extinction
4,347,0,Africa_extinction
4,347,0.1,France_extinction
4,347,0.1,Venezuela_extinction
4,347,0.2,Canada_extinction
4,347,0,Argentina_extinction
4,347,0.2,New_Zealand_extinction
4,408,0.6,tropical_storm_damage
4,408,0.2,hurricane_damage
4,341,0.2,international_airport_screening
4,341,0.2,international_airport_screening_of_passengers
4,341,0.1,airport_screening_of_passengers
1,408,0.6,tropical_storm_damage
1,341,0.3,airport_baggage_screening
1,341,0.2,international_airport_baggage_screening
1,341,0.3,airport_baggage_screening
3,408,0.4,hurricane_deaths
3,408,0.2,hurricane_damage
2,435,0.2,curbing_population_growth
2,435,0.1,stopping_population_growth
2,435,0.7,population_growth
3,435,0.7,population_growth
3,435,0.2,curb_population_growth
3,435,0.1,curb_population_growth_success
3,435,0,curb
3,435,0.8,population_growth_success