is_diversified,no_terms,topic,p1,p5,p10,p20,aDCG5,aDCG10,ar5,ar10
1,3,347,1.0,0.8,0.5,0.6,0.113001,0.115626,7.2,3.9
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.1,0.1,0.000000,0.016532,0.0,0.1
1,3,341,0.0,0.6,0.3,0.15,0.097855,0.096549,0.8,0.4
1,3,341,0.0,0.2,0.2,0.1,0.023520,0.023206,0.2,0.1
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.2,0.1,0.05,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.6,0.4,0.2,0.127492,0.134056,1.0,0.5
1,3,341,1.0,0.2,0.2,0.1,0.047040,0.061882,0.2,0.2
1,3,341,0.0,0.4,0.3,0.15,0.070559,0.085088,0.6,0.4
1,3,341,0.0,0.4,0.2,0.1,0.020259,0.019988,0.2,0.1
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,1.0,0.2,0.1,0.05,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.8,0.5,0.25,0.141913,0.144152,1.0,0.5
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.2,0.15,0.000000,0.016532,0.0,0.1
1,1,347,1.0,0.8,0.4,0.35,0.010329,0.010191,1.2,0.6
1,3,347,1.0,0.8,0.5,0.5,0.113001,0.117003,7.2,4.0
1,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,347,1.0,0.8,0.7,0.55,0.047326,0.050322,3.6,2.1
1,3,347,1.0,0.4,0.3,0.2,0.041160,0.044743,2.8,1.7
1,3,347,0.0,0.6,0.3,0.3,0.030904,0.030491,2.8,1.4
1,3,347,1.0,0.2,0.1,0.05,0.003920,0.003868,0.2,0.1
1,3,347,0.0,0.6,0.3,0.15,0.016014,0.015801,1.4,0.7
1,3,347,1.0,0.6,0.3,0.25,0.031429,0.031010,1.8,0.9
1,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,347,1.0,0.2,0.1,0.05,0.003920,0.003868,0.2,0.1
1,3,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,347,0.0,0.0,0.1,0.05,0.000000,0.001164,0.0,0.1
1,3,347,1.0,0.6,0.4,0.45,0.045137,0.047113,3.4,1.9
1,3,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,367,0.0,0.2,0.1,0.1,0.000000,0.000000,0.0,0.0
1,3,367,0.0,0.6,0.3,0.15,0.000000,0.000000,0.0,0.0
1,3,367,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,367,1.0,0.2,0.1,0.05,0.073173,0.072196,0.4,0.2
1,3,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,367,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,367,1.0,0.6,0.6,0.35,0.000000,0.036279,0.0,0.3
1,1,435,0.0,0.2,0.3,0.2,0.010909,0.027188,0.2,0.3
1,3,435,0.0,0.2,0.1,0.05,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.0,0.1,0.15,0.000000,0.007224,0.0,0.1
1,3,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,1.0,0.2,0.1,0.1,0.025329,0.024991,0.2,0.1
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.2,0.1,0.05,0.010909,0.010763,0.2,0.1
1,3,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.2,0.1,0.05,0.012665,0.012495,0.2,0.1
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,435,1.0,0.2,0.1,0.05,0.025329,0.024991,0.2,0.1
1,3,347,1.0,0.4,0.3,0.25,0.029128,0.030028,1.6,0.9
1,1,408,0.0,0.0,0.0,0.05,0.000000,0.000000,0.0,0.0
1,3,408,1.0,0.6,0.7,0.4,0.196974,0.225785,3.4,2.0
1,3,408,1.0,1.0,0.9,0.55,0.163514,0.187366,3.6,2.0
1,3,408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,408,0.0,0.0,0.2,0.1,0.000000,0.019501,0.0,0.4
1,3,408,0.0,0.0,0.3,0.2,0.000000,0.014172,0.0,0.3
1,1,408,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,408,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,408,0.0,0.2,0.1,0.05,0.005925,0.005846,0.2,0.1
1,1,408,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,408,0.0,0.0,0.1,0.1,0.000000,0.008736,0.0,0.2
1,1,408,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,408,0.0,0.6,0.5,0.25,0.034432,0.035231,0.8,0.4
1,3,408,0.0,0.4,0.5,0.25,0.093561,0.100078,2.0,1.1
1,3,408,0.0,0.6,0.7,0.4,0.071196,0.087063,1.8,1.2
1,3,408,0.0,0.4,0.4,0.2,0.006596,0.013459,0.2,0.2
1,3,408,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,408,0.0,0.0,0.0,0.05,0.000000,0.000000,0.0,0.0
1,3,408,1.0,0.4,0.4,0.25,0.102281,0.115458,2.0,1.1
1,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,347,1.0,0.2,0.1,0.1,0.003920,0.003868,0.2,0.1
1,3,341,0.0,0.6,0.4,0.25,0.067298,0.081871,0.6,0.4
1,3,347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.6,0.4,0.2,0.038199,0.039755,0.2,0.1
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.4,0.2,0.15,0.040518,0.039977,0.4,0.2
0,1,367,0.0,0.2,0.1,0.1,0.000000,0.000000,0.0,0.0
0,3,367,0.0,0.6,0.3,0.15,0.000000,0.000000,0.0,0.0
0,3,367,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,367,1.0,0.2,0.1,0.05,0.073173,0.072196,0.4,0.2
0,3,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,367,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,367,1.0,0.6,0.7,0.35,0.000000,0.033334,0.0,0.3
0,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.0,0.0,0.05,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.4,0.3,0.15,0.054592,0.073987,0.6,0.4
0,3,341,0.0,0.2,0.2,0.1,0.018197,0.017954,0.2,0.1
0,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.2,0.1,0.05,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.2,0.1,0.15,0.070559,0.069617,0.6,0.3
0,3,341,1.0,0.2,0.1,0.05,0.047040,0.046412,0.2,0.1
0,3,341,0.0,0.2,0.2,0.15,0.000000,0.046412,0.0,0.3
0,3,341,0.0,0.2,0.1,0.1,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,1.0,0.2,0.1,0.05,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.8,0.5,0.25,0.127235,0.142068,0.8,0.5
0,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,1,347,1.0,0.2,0.3,0.3,0.000000,0.002755,0.0,0.2
0,3,347,1.0,0.8,0.6,0.45,0.113516,0.114283,7.2,3.8
0,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,347,1.0,0.4,0.7,0.6,0.033320,0.037013,2.0,1.2
0,3,347,1.0,0.2,0.3,0.2,0.027440,0.038577,1.4,1.7
0,3,347,0.0,0.2,0.4,0.45,0.017313,0.025698,1.4,1.4
0,3,347,1.0,0.2,0.1,0.05,0.003920,0.003868,0.2,0.1
0,3,347,0.0,0.6,0.3,0.15,0.013961,0.013775,1.4,0.7
0,3,347,1.0,0.6,0.4,0.2,0.031873,0.032136,1.8,0.9
0,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,1,435,0.0,0.2,0.1,0.15,0.010909,0.010763,0.2,0.1
0,3,435,0.0,0.2,0.1,0.05,0.000000,0.000000,0.0,0.0
0,3,435,0.0,0.2,0.2,0.15,0.010909,0.010763,0.2,0.1
0,3,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,435,1.0,0.4,0.2,0.1,0.025329,0.024991,0.2,0.1
0,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,435,0.0,0.2,0.1,0.05,0.012665,0.012495,0.2,0.1
0,3,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,435,0.0,0.2,0.1,0.05,0.010909,0.010763,0.2,0.1
0,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,1,408,0.0,0.0,0.0,0.05,0.000000,0.000000,0.0,0.0
0,3,408,1.0,0.4,0.2,0.25,0.149686,0.147688,2.2,1.1
0,3,408,1.0,0.8,0.7,0.45,0.039654,0.096394,0.8,1.3
0,3,408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,408,0.0,0.0,0.0,0.05,0.000000,0.000000,0.0,0.0
0,3,408,0.0,0.0,0.2,0.15,0.000000,0.004368,0.0,0.1
0,1,408,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,408,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,408,0.0,0.2,0.1,0.05,0.005925,0.005846,0.2,0.1
0,1,408,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,408,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,1,408,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,408,0.0,0.6,0.5,0.25,0.016545,0.030521,0.4,0.4
0,3,408,0.0,0.4,0.4,0.25,0.068918,0.078418,1.8,1.1
0,3,408,0.0,0.4,0.5,0.35,0.021240,0.055707,0.6,1.0
0,3,408,0.0,0.2,0.2,0.15,0.000000,0.005383,0.0,0.1
0,3,408,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,408,0.0,0.0,0.0,0.05,0.000000,0.000000,0.0,0.0
0,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,347,1.0,0.2,0.1,0.05,0.003920,0.003868,0.2,0.1
0,3,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,347,0.0,0.0,0.0,0.05,0.000000,0.000000,0.0,0.0
0,3,347,1.0,0.6,0.4,0.4,0.036696,0.037371,2.4,1.3
0,3,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,408,1.0,0.4,0.4,0.25,0.102281,0.113289,2.0,1.1
0,3,347,1.0,0.6,0.5,0.25,0.031601,0.031824,1.8,0.9
0,3,435,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,435,1.0,0.2,0.1,0.05,0.025329,0.024991,0.2,0.1
0,1,347,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.0,0.2,0.1,0.000000,0.000000,0.0,0.0
0,3,347,1.0,0.2,0.1,0.1,0.003920,0.003868,0.2,0.1
0,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.4,0.2,0.25,0.018197,0.017954,0.2,0.1
0,3,347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.0,0.4,0.2,0.000000,0.029674,0.0,0.1
0,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
1,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.2,0.1,0.15,0.000000,0.000000,0.0,0.0
0,1,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
0,3,341,0.0,0.0,0.0,0.0,0.000000,0.000000,0.0,0.0
