userid,bad_abandon_probability,good_abandon_probability,good_count,good_count_abandoned,good_count_examined,bad_count,bad_count_abandoned,bad_count_examined,total_count
0,1,0.0,1,0,1,0,0,0,1
1,1.0,0.0,4,0,4,1,1,0,5
2,1,0.0,1,0,1,0,0,0,1
3,1.0,0.25,4,1,3,2,2,0,6
4,0.333333333333,0.75,4,3,1,3,1,2,7
5,0.818181818182,0.307692307692,13,4,9,11,9,2,24
6,1,0.0,1,0,1,0,0,0,1
7,1,0.0,1,0,1,0,0,0,1
8,0.5,0.0,1,0,1,2,1,1,3
9,1.0,0.25,4,1,3,1,1,0,5
10,0.5,0.0,1,0,1,2,1,1,3
11,0.833333333333,1,0,0,0,6,5,1,6
12,1,0.0,2,0,2,0,0,0,2
13,0.0,0.0,2,0,2,2,0,2,4
14,1,0.0,2,0,2,0,0,0,2
15,0.6,0.666666666667,12,8,4,10,6,4,22
16,1.0,0.0,3,0,3,1,1,0,4
17,1.0,0.0,1,0,1,1,1,0,2
18,1,0.0,1,0,1,0,0,0,1
19,0.333333333333,1,0,0,0,6,2,4,6
20,0.0,0.0,1,0,1,1,0,1,2
21,1,0.0,3,0,3,0,0,0,3
22,0.0,0.5,4,2,2,1,0,1,5
23,0.5,1.0,1,1,0,2,1,1,3
24,1.0,0.0,1,0,1,3,3,0,4
25,0.666666666667,0.142857142857,7,1,6,3,2,1,10
26,0.5,0.2,5,1,4,2,1,1,7
27,0.875,0.0,4,0,4,8,7,1,12
28,1,0.0,3,0,3,0,0,0,3
29,1,0.0,1,0,1,0,0,0,1
30,1,0.25,4,1,3,0,0,0,4
31,1,0.0,1,0,1,0,0,0,1
32,1.0,0.2,5,1,4,1,1,0,6
33,0.0,0.0,5,0,5,1,0,1,6
34,0.5,0.333333333333,3,1,2,2,1,1,5
35,0.5,0.3,10,3,7,4,2,2,14
36,1,0.0,2,0,2,0,0,0,2
37,1.0,0.0,3,0,3,2,2,0,5
38,1,0.0,1,0,1,0,0,0,1
39,1,0.0,1,0,1,0,0,0,1
40,1.0,0.5,4,2,2,9,9,0,13
41,1,0.2,10,2,8,0,0,0,10
42,1,0.0,1,0,1,0,0,0,1
43,0.5,0.4,5,2,3,6,3,3,11
44,1.0,0.6,5,3,2,3,3,0,8
45,1,0.0,1,0,1,0,0,0,1
46,0.666666666667,0.25,4,1,3,3,2,1,7
47,0.0,0.0,1,0,1,1,0,1,2
48,0.0,0.4,5,2,3,1,0,1,6
49,1,0.0,2,0,2,0,0,0,2
50,0.333333333333,1,0,0,0,3,1,2,3
